,g1,g2,g3,g4
0,3.6666666666666665,2.6457513110645907,2.3333333333333335,2.3333333333333335
1,5.148148148148148,2.4366480938358275,2.142857142857143,2.066666666666667
2,9.501143118427068,2.304331634445763,2.0666666666666664,2.003921568627451
3,30.75724018561134,2.2165276680739376,2.032258064516129,2.0000152590218967
4,316.0026079451284,2.156289174536155,2.015873015873016,2.0000000002328306
5,33286.549409374165,2.1139696127448153,2.0078740157480315,2.0
6,369331457.86090255,2.08372475107305,2.003921568627451,2.0
7,4.546857525521988e+16,2.0618375913779317,2.0019569471624266,2.0
8,6.891304452465311e+32,2.0458525787880695,2.0009775171065494,2.0
9,1.5830025685522741e+65,2.034098752854494,2.0004885197850513,2.0
